aX,aY,aZ,gX,gY,gZ
0.572,0.142,0.120,-17.395,83.984,-91.003
0.495,0.091,0.148,-16.113,76.599,-91.797
0.433,0.050,0.199,-9.705,68.665,-90.332
0.373,0.039,0.229,0.366,60.181,-91.309
0.292,0.027,0.230,9.033,53.528,-96.802
0.206,0.005,0.231,15.686,51.208,-102.417
0.144,-0.033,0.209,21.118,51.514,-104.492
0.107,-0.087,0.161,26.062,53.589,-103.210
0.074,-0.113,0.063,31.372,55.725,-99.609
0.036,-0.137,0.022,34.607,55.115,-93.506
0.011,-0.172,-0.020,36.926,49.866,-87.524
-0.028,-0.236,-0.056,42.236,41.687,-84.534
-0.082,-0.291,-0.064,48.218,31.372,-82.581
-0.142,-0.292,-0.036,53.162,19.714,-77.759
-0.159,-0.304,-0.014,59.875,9.094,-70.374
-0.159,-0.309,0.043,68.726,4.089,-63.782
-0.147,-0.287,0.067,75.256,5.676,-58.411
-0.130,-0.260,0.048,81.482,12.390,-52.612
-0.148,-0.242,0.010,85.754,21.179,-45.837
-0.137,-0.215,-0.027,85.022,31.189,-38.696
-0.143,-0.197,-0.087,83.191,40.283,-32.654
-0.168,-0.193,-0.132,81.787,45.776,-28.625
-0.207,-0.220,-0.167,79.712,47.302,-27.344
0.528,1.081,-1.283,78.979,-49.683,92.957
0.511,1.120,-1.345,72.876,-62.012,81.177
0.390,1.114,-1.294,58.289,-75.134,68.115
0.268,1.043,-1.151,36.560,-84.595,59.875
0.256,0.846,-1.006,23.254,-85.388,67.383
0.266,0.709,-1.013,29.053,-78.857,86.975
0.396,0.732,-1.057,35.950,-68.665,107.483
0.464,1.014,-1.153,40.222,-57.556,137.390
0.629,1.201,-1.313,59.204,-64.636,152.283
0.733,1.369,-1.417,65.735,-83.984,143.188
0.791,1.574,-1.455,58.105,-110.229,130.310
0.817,1.593,-1.411,44.250,-139.893,108.521
0.825,1.399,-1.206,17.517,-159.119,81.604
0.886,1.208,-0.959,-6.165,-163.513,65.491
1.019,1.000,-0.766,-16.541,-153.198,62.744
1.154,0.935,-0.712,-14.526,-134.399,72.571
1.285,1.132,-0.756,-8.972,-114.502,88.989
1.427,1.393,-0.867,-5.066,-100.037,95.703
1.509,1.517,-0.995,-7.751,-90.332,88.989
1.533,1.530,-1.118,-15.381,-83.557,73.853
1.484,1.432,-1.203,-27.649,-84.717,50.354
1.384,1.277,-1.173,-46.570,-95.337,28.870
1.287,1.199,-1.011,-68.115,-109.009,16.418
1.224,1.141,-0.811,-83.252,-117.493,11.414
1.242,1.090,-0.639,-88.684,-116.211,11.475
1.302,1.105,-0.536,-86.548,-105.652,15.015
1.350,1.189,-0.546,-78.491,-93.689,18.372
1.376,1.258,-0.612,-68.604,-84.351,16.907
1.392,1.342,-0.675,-63.354,-79.102,9.644
1.386,1.286,-0.698,-62.134,-75.623,-4.517
1.411,1.167,-0.602,-59.143,-74.707,-22.949
1.400,1.045,-0.437,-50.049,-71.106,-38.330
1.338,0.987,-0.337,-36.682,-52.673,-46.509
1.398,1.047,-0.335,-28.687,-16.663,-40.588
1.469,1.006,-0.397,-25.452,27.954,-32.654
1.421,0.972,-0.673,-14.038,64.880,-32.471
1.416,1.037,-0.909,-14.526,84.656,-27.588
1.425,1.101,-1.126,-23.376,89.905,-21.973
1.382,1.022,-1.278,-43.518,78.735,-25.330
1.341,0.910,-1.240,-70.862,51.758,-30.762
1.308,0.826,-1.128,-88.806,18.860,-32.654
1.294,0.757,-0.944,-95.093,-10.376,-31.860
1.306,0.729,-0.763,-93.567,-31.860,-29.175
1.337,0.752,-0.593,-90.881,-44.434,-26.306
1.378,0.835,-0.442,-92.407,-45.410,-23.560
1.457,0.856,-0.300,-94.543,-37.476,-24.109
1.426,0.831,-0.225,-98.267,-30.518,-27.466
